COUNTYNS,State,NAME,B01001_001E,B01001_calc_PopDensity
1696996,WV,Barbour County,16730,18.93951433
161528,AL,Barbour County,25782,11.24798121
1034225,ND,Barnes County,10836,2.80499578
606927,MA,Barnstable County,213690,209.2848818
1247983,SC,Barnwell County,21577,15.19191492
516851,KY,Barren County,43680,34.5887888
1581062,WI,Barron County,45252,20.24490268
356976,GA,Barrow County,76887,184.3449202
1622950,MI,Barry County,60057,41.92435909
758459,MO,Barry County,35493,17.60854903
451683,IN,Bartholomew County,81893,77.70463936
758460,MO,Barton County,11850,7.728171676
484974,KS,Barton County,26791,11.5542922
351604,GA,Bartow County,103620,87.06431394
1383796,TX,Bastrop County,82577,35.89726414
758461,MO,Bates County,16374,7.555966482
1673638,VA,Bath County,4393,3.20510469
516852,KY,Bath County,12268,16.98977355
69895,AR,Baxter County,41219,28.71527107
1622951,MI,Bay County,104786,91.48441331
295738,FL,Bay County,182482,92.88574252
1581063,WI,Bayfield County,14992,3.916718463
1383797,TX,Baylor County,3591,1.598298298
1266986,SD,Beadle County,18374,5.636125726
395090,ID,Bear Lake County,5962,2.359204372
1247984,SC,Beaufort County,182658,122.4013952
1026333,NC,Beaufort County,47243,21.92453498
1448015,UT,Beaver County,6443,0.963125031
1214112,PA,Beaver County,166896,148.2328331
1101791,OK,Beaver County,5415,1.152122952
1719627,MT,Beaverhead County,9393,0.654314038
659448,MN,Becker County,33773,9.915577814
1101792,OK,Beckham County,22621,9.684911042
1674818,VA,Bedford County,77908,39.57522961
1639723,TN,Bedford County,47558,38.76843022
1209171,PA,Bedford County,48611,18.54071919
1383798,TX,Bee County,32691,14.33935601
873174,NH,Belknap County,60640,58.26447251
1383799,TX,Bell County,342236,125.6914911
516853,KY,Bell County,27188,29.23546513
1065575,OH,Belmont County,68472,49.68223263
659449,MN,Beltrami County,46117,7.108971232
351606,GA,Ben Hill County,17154,26.47984793
395190,ID,Benewah County,9086,4.515359408
1265812,SD,Bennett County,3437,1.12019789
1461758,VT,Bennington County,35920,20.54645979
1034216,ND,Benson County,6886,1.914602497
198121,CO,Bent County,5809,1.482547663
1639724,TN,Benton County,16112,15.77676934
1513302,WA,Benton County,194168,44.09960568
1155126,OR,Benton County,89780,51.34062774
758462,MO,Benton County,18989,10.41371619
695729,MS,Benton County,8253,7.836628889
659450,MN,Benton County,39779,37.61666773
465195,IA,Benton County,25626,13.81681748
450403,IN,Benton County,8667,8.233768324
69896,AR,Benton County,258980,117.9774558
1622952,MI,Benzie County,17552,21.197698
882271,NJ,Bergen County,929999,1542.514631
1550008,WV,Berkeley County,113495,136.4498415
1247985,SC,Berkeley County,209065,73.14238371
1209172,PA,Berks County,416642,187.8468263
606928,MA,Berkshire County,127328,53.04016386
1702363,NM,Bernalillo County,677692,225.3235596
1622953,MI,Berrien County,154807,105.2725308
326638,GA,Berrien County,19025,16.20197066
1026334,NC,Bertie County,19644,10.84789289
1383800,TX,Bexar County,1925865,599.5581109
